Ping     Download     Upload    Data
26.463    32.56        21.05     Wed Mar  2 19:31:07 2016

22.842    33.62        21.23     Wed Mar  2 19:31:07 2016

24.901    32.38        18.14     Wed Mar  2 19:31:07 2016

29.489    33.11        18.51     Wed Mar  2 19:31:07 2016

21.419    33.40        18.24     Wed Mar  2 19:31:07 2016

22.271    34.50        16.75     Wed Mar  2 19:31:07 2016

21.17    34.04        20.93     Wed Mar  2 19:31:07 2016

20.915    33.74        19.55     Wed Mar  2 19:31:07 2016

24.402    25.80        17.24     Wed Mar  2 19:31:07 2016

24.205    34.29        21.29     Wed Mar  2 19:31:07 2016

27.544    18.54        18.39     Wed Mar  2 19:31:07 2016

22.856    34.23        11.26     Wed Mar  2 19:31:07 2016

23.193    33.42        5.09     Wed Mar  2 19:31:07 2016

36.883    32.46        20.14     Wed Mar  2 19:31:07 2016

23.706    33.39        21.25     Wed Mar  2 19:31:07 2016

25.144    33.38        19.48     Wed Mar  2 19:31:07 2016

22.749    30.61        14.62     Wed Mar  2 19:31:07 2016

31.942    35.04        21.37     Wed Mar  2 19:31:07 2016

24.83    33.76        21.66     Wed Mar  2 19:31:07 2016

21.906    35.25        22.20     Wed Mar  2 19:31:07 2016

22.002    32.66        22.11     Wed Mar  2 19:31:07 2016

21.402    34.47        22.57     Wed Mar  2 19:31:07 2016

21.581    34.59        10.15     Wed Mar  2 19:31:07 2016

21.332    34.68        21.70     Wed Mar  2 19:31:07 2016

21.836    31.69        15.83     Wed Mar  2 19:31:07 2016

21.582    34.68        20.82     Wed Mar  2 19:31:07 2016

22.04    33.97        20.33     Wed Mar  2 19:31:07 2016

21.451    34.92        21.86     Wed Mar  2 19:31:07 2016

22.808    33.03        20.37     Wed Mar  2 19:31:07 2016

22.047    34.70        17.56     Wed Mar  2 19:31:07 2016

24.663    34.72        21.57     Wed Mar  2 19:31:07 2016

21.277    31.68        18.82     Wed Mar  2 19:31:07 2016

21.569    34.26        20.99     Wed Mar  2 19:31:07 2016

21.975    34.49        20.28     Wed Mar  2 19:31:07 2016

21.274    29.09        21.86     Wed Mar  2 19:31:07 2016

22.22    34.59        20.95     Wed Mar  2 19:31:07 2016

21.19    33.85        18.07     Wed Mar  2 19:31:07 2016

21.285    33.72        16.53     Wed Mar  2 19:31:07 2016

21.57    34.44        18.60     Wed Mar  2 19:31:07 2016

21.451    32.81        21.73     Wed Mar  2 19:31:07 2016

21.195    34.38        21.82     Wed Mar  2 19:31:07 2016

21.195    34.02        21.02     Wed Mar  2 19:31:07 2016

21.246    34.96        20.02     Wed Mar  2 19:31:07 2016

23.684    34.11        21.46     Wed Mar  2 19:31:07 2016

25.327    33.80        21.40     Wed Mar  2 19:31:07 2016

23.332    30.79        22.94     Wed Mar  2 19:31:07 2016

19.789    35.42        21.59     Wed Mar  2 19:31:07 2016

22.513    35.85        22.64     Wed Mar  2 19:31:07 2016

19.363    35.94        20.19     Wed Mar  2 19:31:07 2016

21.457    35.62        21.10     Wed Mar  2 19:31:07 2016

21.803    35.55        23.50     Wed Mar  2 19:31:07 2016

21.277    34.51        23.03     Wed Mar  2 19:31:07 2016

22.821    36.54        21.23     Wed Mar  2 19:31:07 2016

20.819    36.02        21.82     Wed Mar  2 19:31:07 2016

20.061    35.48        21.06     Wed Mar  2 19:31:07 2016

29.237    34.75        20.13     Wed Mar  2 19:31:07 2016

21.008    35.35        22.10     Wed Mar  2 19:31:07 2016

20.865    34.47        20.37     Wed Mar  2 19:31:07 2016

21.541    35.88        20.40     Wed Mar  2 19:31:07 2016

21.706    35.81        22.23     Wed Mar  2 19:31:07 2016

20.637    34.46        22.14     Wed Mar  2 19:31:07 2016

21.333    35.99        23.14     Wed Mar  2 19:31:07 2016

20.933    36.53        23.06     Wed Mar  2 19:31:07 2016

23.914    33.70        23.28     Wed Mar  2 19:31:07 2016

22.128    34.33        19.00     Wed Mar  2 19:31:07 2016

20.88    35.51        19.59     Wed Mar  2 19:31:07 2016

20.701    35.23        20.37     Wed Mar  2 19:31:07 2016

20.106    35.48        23.35     Wed Mar  2 19:31:07 2016

20.499    33.19        23.35     Wed Mar  2 19:31:07 2016

22.912    36.26        17.83     Wed Mar  2 19:31:07 2016

21.686    32.01        21.55     Wed Mar  2 19:31:07 2016

22.544    34.99        21.09     Wed Mar  2 19:31:07 2016

